id,name,type,Recognizability,movie_count
P-3,Harrison Ford,Actor,10,1
P-3636,Paul Newman,Actor,9,1
P-14386,Beyoncé,Actor,10,1
P-111946,Britney Spears,Actor,10,1
P-12208,Ozzy Osbourne,Actor,9,1
P-982,Sting,Actor,9,1
P-12640,David Duchovny,Actor,9,1
P-12214,Gillian Anderson,Actor,9,1
P-12835,Vin Diesel,Actor,9,1
P-13240,Mark Wahlberg,Actor,9,1
P-13309,Oprah Winfrey,Actor,10,1
P-110001,Phil Collins,Actor,9,1
P-3635,Elizabeth Taylor,Actor,10,1
P-15903,George Carlin,Actor,9,1
P-569,Ethan Hawke,Actor,9,1
P-500,Tom Cruise,Actor,10,1
P-501,Dakota Fanning,Actor,9,1
P-504,Tim Robbins,Actor,9,1
P-514,Jack Nicholson,Actor,10,1
P-515,Glenn Close,Actor,9,1
P-517,Pierce Brosnan,Actor,9,1
P-518,Danny DeVito,Actor,9,1
P-519,Martin Short,Actor,9,1
P-520,Sarah Jessica Parker,Actor,9,1
P-521,Michael J. Fox,Actor,9,1
P-524,Natalie Portman,Actor,10,1
P-23659,Will Ferrell,Actor,9,1
P-12111,Justin Timberlake,Actor,9,1
P-5823,Julie Andrews,Actor,10,1
P-12073,Mike Myers,Actor,9,1
P-287,Brad Pitt,Actor,10,1
P-290,Christopher Plummer,Actor,9,1
P-325,Eminem,Actor,10,1
P-326,Kim Basinger,Actor,9,1
P-73421,Joaquin Phoenix,Actor,9,1
P-368,Reese Witherspoon,Actor,9,1
P-448,Hilary Swank,Actor,9,1
P-819,Edward Norton,Actor,9,1
P-11288,Robert Pattinson,Actor,9,1
P-7447,Alec Baldwin,Actor,9,1
P-10297,Matthew McConaughey,Actor,9,1
P-4038,Susan Sarandon,Actor,9,1
P-10400,Barbra Streisand,Actor,10,1
P-1620,Michelle Yeoh,Actor,9,1
P-17276,Gerard Butler,Actor,9,1
P-3136,Salma Hayek Pinault,Actor,9,1
P-11510,Macaulay Culkin,Actor,9,1
P-17419,Bryan Cranston,Actor,9,1
P-11856,Daniel Day-Lewis,Actor,9,1
P-11669,Jimmy Fallon,Actor,9,1
P-11701,Angelina Jolie,Actor,10,1
P-11863,Sarah Michelle Gellar,Actor,9,1
P-12052,Gwyneth Paltrow,Actor,9,1
P-70851,Jack Black,Actor,9,1
P-72466,Colin Farrell,Actor,9,1
P-1430,Keith Richards,Actor,9,1
P-10017,Charlton Heston,Actor,9,1
P-49265,Lindsay Lohan,Actor,9,1
P-707,Dan Aykroyd,Actor,9,1
P-723,Patrick Swayze,Actor,9,1
P-738,Sean Connery,Actor,10,1
P-741,River Phoenix,Actor,9,1
P-776,Eddie Murphy,Actor,10,1
P-879,Billy Bob Thornton,Actor,9,1
P-880,Ben Affleck,Actor,10,1
P-882,Liv Tyler,Actor,9,1
P-884,Steve Buscemi,Actor,9,1
P-887,Owen Wilson,Actor,9,1
P-2632,Chris Rock,Actor,10,1
P-1336,Jet Li,Actor,9,1
P-1229,Jeff Bridges,Actor,9,1
P-61303,Dick Van Dyke,Actor,9,1
P-1937,Mickey Rooney,Actor,9,1
P-17838,Rami Malek,Actor,10,1
P-10158,Robert Mitchum,Actor,9,1
P-15152,James Earl Jones,Actor,10,1
P-4169,Dave Chappelle,Actor,10,1
P-18897,Jackie Chan,Actor,10,1
P-18918,Dwayne Johnson,Actor,10,1
P-19292,Adam Sandler,Actor,10,1
P-19537,Megan Fox,Actor,9,1
P-63,Milla Jovovich,Actor,9,1
P-17605,Idris Elba,Actor,10,1
P-17604,Jeremy Renner,Actor,9,1
P-16935,Geena Davis,Actor,9,1
P-15758,Queen Latifah,Actor,9,1
P-14991,Jay Leno,Actor,9,1
P-14409,David Schwimmer,Actor,9,1
P-14639,Mel Brooks,Actor,9,1
P-7487,David Bowie,Actor,10,1
P-15735,Helen Mirren,Actor,9,1
P-20006,Christopher Reeve,Actor,9,1
P-16483,Sylvester Stallone,Actor,10,1
P-80757,Mike Tyson,Actor,9,1
P-27972,Josh Hutcherson,Actor,9,1
P-16828,Chris Evans,Actor,10,1
P-41419,Hugh Laurie,Actor,9,1
P-17288,Michael Fassbender,Actor,9,1
P-16475,Burt Reynolds,Actor,9,1
P-25540,Sandra Oh,Actor,9,1
P-16619,Mr. T,Actor,9,1
P-16620,Hulk Hogan,Actor,9,1
P-16866,Jennifer Lopez,Actor,10,1
P-21657,Vera Farmiga,Actor,9,1
P-10860,Jessica Biel,Actor,9,1
P-18277,Sandra Bullock,Actor,10,1
P-16940,Jeremy Irons,Actor,9,1
P-3810,Javier Bardem,Actor,9,1
P-62,Bruce Willis,Actor,10,1
P-10978,Maggie Smith,Actor,9,1
P-10990,Emma Watson,Actor,10,1
P-7175,Aretha Franklin,Actor,10,1
P-25837,Elisha Cuthbert,Actor,9,1
P-9205,Denise Richards,Actor,9,1
P-11617,Mischa Barton,Actor,9,1
P-6968,Hugh Jackman,Actor,10,1
P-6972,Ian McShane,Actor,9,1
P-4391,Charles Dance,Actor,9,1
P-4517,Joe Pesci,Actor,10,1
P-4512,James Woods,Actor,9,1
P-7171,John Belushi,Actor,9,1
P-7172,James Brown,Actor,10,1
P-7174,Ray Charles,Actor,10,1
P-7180,John Candy,Actor,9,1
P-10989,Rupert Grint,Actor,9,1
P-4756,Matthew Broderick,Actor,9,1
P-1642789,Madelyn Cline,Actor,9,1
P-1700631,Liza Koshy,Actor,10,1
P-50266,Shemar Moore,Actor,9,1
P-1785590,David Corenswet,Actor,9,1
P-2034418,Jacob Elordi,Actor,9,1
P-2604515,Emma Myers,Actor,9,1
P-2282154,Jimmy Donaldson,Actor,10,1
P-65731,Sam Worthington,Actor,10,1
P-4238,Common,Actor,9,1
P-18997,Bryce Dallas Howard,Actor,9,1
P-31717,January Jones,Actor,9,1
P-10730,Rowan Atkinson,Actor,10,1
P-25663,Thomas Brodie-Sangster,Actor,9,1
P-7060,Martin Freeman,Actor,10,1
P-9281,Elizabeth Banks,Actor,10,1
P-6613,Minnie Driver,Actor,9,1
P-6941,Cameron Diaz,Actor,10,1
P-6949,John Malkovich,Actor,10,1
P-6952,Charlie Sheen,Actor,10,1
P-6944,Octavia Spencer,Actor,9,1
P-6730,Sacha Baron Cohen,Actor,10,1
P-6736,Pamela Anderson,Actor,10,1
P-6807,Sam Rockwell,Actor,9,1
P-6856,Kurt Russell,Actor,10,1
P-20497,Fergie,Actor,10,1
P-6885,Charlize Theron,Actor,10,1
P-6886,Christina Ricci,Actor,10,1
P-6905,Bruce Dern,Actor,9,1
P-4566,Alan Rickman,Actor,10,1
P-7056,Emma Thompson,Actor,10,1
P-7062,Andrew Lincoln,Actor,9,1
P-2326151,Paul Mescal,Actor,9,1
P-3455931,Truman Hanks,Actor,9,1
P-1298360,Laverne Cox,Actor,9,1
P-108558,Shania Twain,Actor,10,1
P-80415,Judith Light,Actor,9,1
P-1576058,Lilly Singh,Actor,9,1
P-53256,Terry Crews,Actor,9,1
P-7399,Ben Stiller,Actor,10,1
P-7404,Sarah Silverman,Actor,9,1
P-8447,Jeff Daniels,Actor,9,1
P-2888,Will Smith,Actor,10,1
P-9575,Jada Pinkett Smith,Actor,9,1
P-28782,Monica Bellucci,Actor,9,1
P-9656,Johnny Knoxville,Actor,9,1
P-82702,Michael Jackson,Actor,10,1
P-8784,Daniel Craig,Actor,10,1
P-9206,Neve Campbell,Actor,9,1
P-8851,Whitney Houston,Actor,10,1
P-8892,Olivia Newton-John,Actor,9,1
P-8891,John Travolta,Actor,10,1
P-8944,Jamie Lee Curtis,Actor,9,1
P-3131,Antonio Banderas,Actor,9,1
P-9137,Renée Zellweger,Actor,9,1
P-5344,Meg Ryan,Actor,9,1
P-9273,Amy Adams,Actor,9,1
P-9278,Jennifer Garner,Actor,9,1
P-9642,Jude Law,Actor,9,1
P-9778,Ice Cube,Actor,9,1
P-9780,Angela Bassett,Actor,9,1
P-55636,Donald Sutherland,Actor,9,1
P-11390,Peter O'Toole,Actor,9,1
P-1666,Julie Christie,Actor,9,1
P-10980,Daniel Radcliffe,Actor,10,1
P-8534,Kathy Bates,Actor,9,1
P-8293,Marion Cotillard,Actor,10,1
P-4135,Robert Redford,Actor,10,1
P-3061,Ewan McGregor,Actor,10,1
P-7517,Kate Bosworth,Actor,9,1
P-7499,Jared Leto,Actor,10,1
P-7570,Lauren Bacall,Actor,9,1
P-2219,Tobey Maguire,Actor,10,1
P-17051,James Franco,Actor,10,1
P-18999,J.K. Simmons,Actor,9,1
P-20580,Joe Manganiello,Actor,9,1
P-25933,Emily Deschanel,Actor,9,1
P-17052,Topher Grace,Actor,9,1
P-6384,Keanu Reeves,Actor,10,1
P-41686,Neil Patrick Harris,Actor,10,1
P-18269,Brendan Fraser,Actor,10,1
P-11702,Adam Brody,Actor,9,1
P-87485,Neil Armstrong,Actor,10,1
P-6355,Roy Scheider,Actor,9,1
P-8606,Robert Shaw,Actor,9,1
P-10722,Graham Chapman,Actor,9,1
P-8930,John Cleese,Actor,10,1
P-8167,Paul Walker,Actor,10,1
P-8170,Eva Mendes,Actor,10,1
P-8171,Ludacris,Actor,9,1
P-7904,Billy Crystal,Actor,10,1
P-5563,James Coburn,Actor,9,1
P-955,Penélope Cruz,Actor,10,1
P-5004,Omar Sharif,Actor,9,1
P-4,Carrie Fisher,Actor,9,1
P-62064,Chris Pine,Actor,9,1
P-1813,Anne Hathaway,Actor,10,1
P-1748,William Shatner,Actor,10,1
P-1749,Leonard Nimoy,Actor,10,1
P-3894,Christian Bale,Actor,10,1
P-3895,Michael Caine,Actor,10,1
P-64,Gary Oldman,Actor,10,1
P-52601,Sean Hayes,Actor,9,1
P-230176,Eve,Actor,9,1
P-71070,Amanda Seyfried,Actor,9,1
P-55085,Amber Heard,Actor,9,1
P-28657,Matthew Fox,Actor,9,1
P-72208,Alicia Keys,Actor,9,1
P-54697,Dave Franco,Actor,9,1
P-52866,Avril Lavigne,Actor,9,1
P-59919,Russell Brand,Actor,9,1
P-73931,Bette Midler,Actor,9,1
P-54415,Josh Gad,Actor,9,1
P-52783,Rachel Bilson,Actor,9,1
P-34408,Stana Katic,Actor,9,1
P-37934,André 3000,Actor,9,1
P-63522,Sofía Vergara,Actor,10,1
P-31903,Henry Winkler,Actor,10,1
P-70243,Eartha Kitt,Actor,9,1
P-54645,Nia Vardalos,Actor,9,1
P-1812,Michelle Williams,Actor,9,1
P-1810,Heath Ledger,Actor,9,1
P-1532,Bill Murray,Actor,10,1
P-1461,George Clooney,Actor,10,1
P-58225,Zach Galifianakis,Actor,10,1
P-13565,Steve McQueen,Actor,10,1
P-14406,Lisa Kudrow,Actor,10,1
P-47296,Jeffrey Dean Morgan,Actor,10,1
P-47297,James Marsters,Actor,9,1
P-49735,Aidan Gillen,Actor,9,1
P-1341,Donnie Yen,Actor,9,1
P-30614,Ryan Gosling,Actor,10,1
P-20186,Damian Lewis,Actor,9,1
P-134531,Anna Gunn,Actor,9,1
P-77897,Tyra Banks,Actor,9,1
P-78729,Nathan Lane,Actor,9,1
P-52052,Jessica Simpson,Actor,9,1
P-8261,Willie Nelson,Actor,10,1
P-44935,Lynda Carter,Actor,9,1
P-78080,Krysten Ritter,Actor,9,1
P-51329,Bradley Cooper,Actor,10,1
P-44735,Jesse Eisenberg,Actor,9,1
P-51962,Bill Cosby,Actor,10,1
P-53122,Fran Drescher,Actor,9,1
P-38673,Channing Tatum,Actor,10,1
P-57172,Ashanti,Actor,9,1
P-27578,Elliot Page,Actor,9,1
P-125025,Joey King,Actor,9,1
P-52848,Isla Fisher,Actor,9,1
P-54693,Emma Stone,Actor,10,1
P-54830,Sophia Bush,Actor,9,1
P-2047,Danny Glover,Actor,9,1
P-58224,Jason Sudeikis,Actor,9,1
P-56734,Chloë Grace Moretz,Actor,9,1
P-12219,Jon Stewart,Actor,10,1
P-51856,Jenna Fischer,Actor,9,1
P-52605,Eva Longoria,Actor,9,1
P-53714,Rachel McAdams,Actor,9,1
P-56903,Tracy Morgan,Actor,9,1
P-57108,Usher,Actor,10,1
P-14104,Phil Hartman,Actor,9,1
P-69128,Nelly,Actor,9,1
P-110927,Penn Badgley,Actor,9,1
P-55089,Evan Peters,Actor,9,1
P-16927,Gérard Depardieu,Actor,10,1
P-57298,Anne Parillaud,Actor,9,1
P-22675,Damon Wayans,Actor,9,1
P-28238,David Hasselhoff,Actor,9,1
P-1459,Tina Turner,Actor,10,1
P-18892,Goldie Hawn,Actor,10,1
P-33663,Donald Trump,Actor,10,1
P-14730,Angela Lansbury,Actor,9,1
P-19429,Bruce Lee,Actor,10,1
P-51576,Chuck Norris,Actor,9,1
P-9309,Richard Pryor,Actor,9,1
P-84497,Aaron Paul,Actor,9,1
P-1896,Don Cheadle,Actor,9,1
P-1922,Catherine Zeta-Jones,Actor,10,1
P-1920,Winona Ryder,Actor,10,1
P-53283,Jonathan Taylor Thomas,Actor,9,1
P-53828,Jennifer Carpenter,Actor,9,1
P-239271,Jeremy Strong,Actor,9,1
P-47775,Marc Anthony,Actor,9,1
P-11825,Maggie Grace,Actor,9,1
P-21462,Raquel Welch,Actor,9,1
P-336,Xzibit,Actor,9,1
P-50398,Devon Sawa,Actor,9,1
P-23880,Steven Seagal,Actor,9,1
P-35824,Alice Cooper,Actor,9,1
P-56159,Dana Carvey,Actor,9,1
P-58198,Chris Farley,Actor,9,1
P-18977,Ed O'Neill,Actor,9,1
P-37935,Steven Tyler,Actor,9,1
P-59410,Bob Odenkirk,Actor,9,1
P-73457,Chris Pratt,Actor,9,1
P-78303,Jimmy Kimmel,Actor,9,1
P-84214,Taylor Lautner,Actor,9,1
P-84223,Anna Kendrick,Actor,9,1
P-83002,Jessica Chastain,Actor,9,1
P-1216701,"Meghan, Duchess of Sussex",Actor,10,1
P-2037,Cillian Murphy,Actor,9,1
P-1892,Matt Damon,Actor,10,1
P-46593,Emile Hirsch,Actor,9,1
P-31535,Melissa McBride,Actor,9,1
P-45863,Doris Roberts,Actor,9,1
P-29222,Zac Efron,Actor,10,1
P-14528,Yul Brynner,Actor,9,1
P-21278,Alan Alda,Actor,9,1
P-77070,Gwen Stefani,Actor,9,1
P-67773,Steve Martin,Actor,10,1
P-23959,Debra Messing,Actor,9,1
P-27726,Don Knotts,Actor,9,1
P-7685,Raymond Burr,Actor,9,1
P-21007,Jonah Hill,Actor,9,1
P-27105,Ed Helms,Actor,9,1
P-53863,Simon Helberg,Actor,9,1
P-4090,Shirley MacLaine,Actor,9,1
P-3460,Gene Wilder,Actor,9,1
P-54812,Chevy Chase,Actor,10,1
P-14405,Courteney Cox,Actor,10,1
P-29369,Melanie Griffith,Actor,9,1
P-32798,Elisabeth Moss,Actor,9,1
P-33259,Jennifer Love Hewitt,Actor,9,1
P-33260,Freddie Prinze Jr.,Actor,9,1
P-37153,Zoë Kravitz,Actor,9,1
P-3141,Marisa Tomei,Actor,9,1
P-34490,Sarah Paulson,Actor,9,1
P-34847,Emma Roberts,Actor,9,1
P-4111,Ingrid Bergman,Actor,10,1
P-7301,Anthony Perkins,Actor,9,1
P-13784,Burt Lancaster,Actor,9,1
P-23532,Jason Bateman,Actor,9,1
P-73968,Henry Cavill,Actor,10,1
P-22970,Peter Dinklage,Actor,10,1
P-18976,Ashton Kutcher,Actor,9,1
P-15111,Jean-Claude Van Damme,Actor,9,1
P-2041,Dr. Dre,Actor,9,1
P-19767,Snoop Dogg,Actor,9,1
P-38225,Cher,Actor,10,1
P-14408,Matthew Perry,Actor,9,1
P-10859,Ryan Reynolds,Actor,10,1
P-934,Russell Crowe,Actor,10,1
P-976,Jason Statham,Actor,10,1
P-380,Robert De Niro,Actor,10,1
P-1038,Jodie Foster,Actor,10,1
P-1062,Christopher Lloyd,Actor,9,1
P-1100,Arnold Schwarzenegger,Actor,10,1
P-1121,Benicio del Toro,Actor,9,1
P-1158,Al Pacino,Actor,10,1
P-1160,Michelle Pfeiffer,Actor,10,1
P-21593,Jason Biggs,Actor,9,1
P-21595,Alyson Hannigan,Actor,9,1
P-26510,Eugene Levy,Actor,10,1
P-36190,Edie Falco,Actor,9,1
P-14407,Matt LeBlanc,Actor,10,1
P-13548,James Spader,Actor,9,1
P-38026,Chris Noth,Actor,9,1
P-15234,David Arquette,Actor,9,1
P-26457,Matthew Lillard,Actor,9,1
P-55536,Melissa McCarthy,Actor,10,1
P-38025,Kristin Davis,Actor,9,1
P-3075,Rory McCann,Actor,9,1
P-38940,Evan Rachel Wood,Actor,9,1
P-39390,Michael Kenneth Williams,Actor,9,1
P-16897,Sidney Poitier,Actor,10,1
P-39995,Michael Cera,Actor,9,1
P-40036,Taraji P. Henson,Actor,9,1
P-932967,Mahershala Ali,Actor,10,1
P-4886,Norman Reedus,Actor,9,1
P-25541,Katherine Heigl,Actor,9,1
P-41088,Jason Segel,Actor,9,1
P-41091,Kristen Wiig,Actor,9,1
P-83586,Ken Jeong,Actor,9,1
P-3359,Laurence Olivier,Actor,10,1
P-15886,Julia Louis-Dreyfus,Actor,10,1
P-1639,Emily Watson,Actor,9,1
P-43775,Jane Lynch,Actor,9,1
P-27811,Peter Weller,Actor,9,1
P-16896,James Garner,Actor,9,1
P-65717,Jon Hamm,Actor,10,1
P-16377,Jerry Seinfeld,Actor,10,1
P-52119,Megan Mullally,Actor,9,1
P-50807,Michael Richards,Actor,9,1
P-15110,Brooke Shields,Actor,9,1
P-39187,Olivia Colman,Actor,9,1
P-37917,Kristen Stewart,Actor,10,1
P-9562,Marlon Wayans,Actor,9,1
P-19394,Idina Menzel,Actor,10,1
P-55638,Kevin Hart,Actor,10,1
P-35806,Shaquille O'Neal,Actor,10,1
P-67600,Ashley Tisdale,Actor,9,1
P-1205,Richard Gere,Actor,10,1
P-1204,Julia Roberts,Actor,10,1
P-1230,John Goodman,Actor,10,1
P-1231,Julianne Moore,Actor,10,1
P-1233,Philip Seymour Hoffman,Actor,9,1
P-1245,Scarlett Johansson,Actor,10,1
P-1269,Kevin Costner,Actor,10,1
P-1283,Helena Bonham Carter,Actor,10,1
P-113,Christopher Lee,Actor,9,1
P-1327,Ian McKellen,Actor,10,1
P-48,Sean Bean,Actor,9,1
P-112,Cate Blanchett,Actor,10,1
P-1333,Andy Serkis,Actor,9,1
P-36424,LL Cool J,Actor,9,1
P-158208,Alex Trebek,Actor,9,1
P-36592,Saoirse Ronan,Actor,9,1
P-71580,Benedict Cumberbatch,Actor,10,1
P-10882,Rosamund Pike,Actor,9,1
P-6352,Jane Fonda,Actor,10,1
P-36811,Nick Cannon,Actor,9,1
P-6485,Busta Rhymes,Actor,9,1
P-27011,Vanessa Williams,Actor,9,1
P-1549008,The Weeknd,Actor,10,1
P-86626,Aziz Ansari,Actor,9,1
P-55466,James Corden,Actor,10,1
P-19119,Mélanie Laurent,Actor,9,1
