movie_id,person_id
11,2
11,3
11,4
11,5
11,12248
11,6
11,130
11,24343
11,24342
11,33032
11,131625
11,132538
11,216087
11,69249
11,47401
12,13
12,14
12,12
12,5293
12,118
12,18
12,19
12,6168
12,17401
12,14723
12,20
12,981048
12,10
12,22
12,8783
12,7907
12,57675
12,120617
13,31
13,32
13,33
13,35
13,34
13,37821
13,204997
13,9640
13,6751
13,3817610
13,196855
13,3052237
13,951881
13,3817629
13,36221
13,1215432
13,37827
14,1979
14,516
14,2155
14,8210
14,8211
14,8212
14,19
14,2955
14,2154
14,8213
14,8214
14,64189
14,68842
14,45399
14,166961
14,9634
22,85
22,118
22,114
22,116
22,1709
22,378
22,1710
22,1711
22,1712
22,1713
22,1714
22,1715
22,1716
22,1717
22,2449
22,12802
22,8691
24,139
24,140
24,2535
24,589
24,141
24,147
24,2539
24,2538
24,2537
24,240171
24,2536
24,2234
24,2541
24,138435
24,545394
24,87312
25,131
25,134
25,133
25,132
25,2955
25,10964
25,155
25,49271
25,150194
25,107939
25,352
25,17697
25,95698
25,1172840
25,557545
28,8349
28,3084
28,8351
28,8354
28,2975
28,8350
28,3087
28,3173
28,3
28,349
28,1739
28,80874
28,550106
28,2778
28,13023
28,103853
33,190
33,193
33,192
33,3710
33,194
33,3712
33,3713
33,3711
33,3714
33,2843
33,3715
33,188960
33,1055157
33,5481
33,130935
33,1748793
33,95638
33,58058
33,60433
35,198
35,199
35,200
35,5586
35,5587
35,6008
35,6009
35,34983
35,13
35,156910
35,6036
35,6035
35,6007
35,95866
35,95867
35,3266
35,31
38,206
38,204
38,205
38,103
38,109
38,207
38,209
38,212
38,77013
38,130840
38,208
38,220
38,211
38,213
38,214
38,216
58,85
58,114
58,116
58,1640
58,2440
58,1709
58,2449
58,378
58,1710
58,1711
58,2441
58,2038
58,2451
58,1715
58,4030
58,939
58,1195758
58,118
59,110
59,49
59,228
59,227
59,225
59,229
59,230
59,231
59,232
59,233
59,234
59,235
59,226
59,237
59,236
59,4364135
63,62
63,289
63,287
63,290
63,52
63,288
63,22227
63,1318900
63,64908
63,11154
63,66094
63,1077231
63,1571785
63,1328063
63,7576
63,59112
65,325
65,326
65,327
65,328
65,333
65,334
65,341
65,342
65,343
65,344
65,337
65,217173
65,345
65,335
65,123457
65,4209687
65,53650
65,4693
66,190
66,193
66,228
66,350
66,351
66,349
66,352
66,5249
66,404
66,6074
66,1218219
66,28633
66,1173
66,153926
66,389
66,1235883
69,73421
69,368
69,417
69,418
69,424
69,425
69,426
69,1231850
69,419
69,422
69,421
69,427
69,428
69,589756
69,420
69,3813501
69,429
70,190
70,448
70,192
70,449
70,450
70,451
70,31713
70,53650
70,452
70,453
70,454
70,2137
70,155576
70,170123
70,120257
70,154950
71,478
71,480
71,477
71,481
71,479
71,482
71,1241113
71,3182293
71,483
71,3182294
71,107381
71,116991
71,487
71,938824
71,1041491
71,3182296
73,819
73,820
73,821
73,823
73,824
73,826
73,822
73,827
73,825
73,829
73,828
73,830
73,831
73,832
73,833
73,4134
74,500
74,501
74,503
74,502
74,504
74,53184
74,75604
74,37157
74,4494
74,103079
74,56442
74,59690
74,1599519
74,505
74,2467491
74,167109
74,35029
74,39388
74,17181
74,192
75,514
75,515
75,516
75,517
75,518
75,519
75,520
75,521
75,522
75,523
75,526
75,524
75,4774
75,4452
75,528
75,1818
75,70851
75,18979
75,15831
77,529
77,530
77,532
77,534
77,535
77,536
77,537
77,538
77,539
77,540
77,542
77,543
77,544
78,3
78,585
78,586
78,587
78,588
78,589
78,590
78,591
78,592
78,593
78,20904
78,58495
78,53760
78,107074
78,951333
80,569
80,1146
80,649
80,651
80,654
80,657
80,3728
80,3729
80,3730
80,3731
82,72466
82,134
82,2038
82,643
82,40543
82,8785
82,15009
82,8689
82,65421
82,16861
82,1665
82,16867
82,17941
82,4812
82,27736
82,26651
85,3
85,650
85,652
85,655
85,653
85,659
85,660
85,656
85,658
85,661
85,662
85,663
85,2247
85,1402695
85,1211876
85,55909
87,3
87,689
87,690
87,691
87,693
87,694
87,695
87,696
87,11397
87,699
87,701
87,702
87,707
87,1402218
87,80123
87,1055317
88,722
88,723
88,724
88,4199
88,725
88,728
88,727
88,730
88,726
88,4201
88,4198
88,4200
88,734
88,733
88,4202
89,3
89,738
89,656
89,739
89,655
89,740
89,741
89,742
89,743
89,744
89,745
89,746
89,747
89,748
89,749
89,649
90,776
90,777
90,778
90,779
90,780
90,782
90,785
90,783
90,786
